iter	RMSE
0	76783.96339
1	74423.19917
2	71880.25932
3	69520.17101
4	67471.54867
5	65699.18922
6	63704.04708
7	62073.35894
8	60211.71567
9	58458.73049
10	56979.82253
11	55479.68599
12	54000.05804
13	52858.08954
14	51502.79389
15	50210.14598
16	49017.3971
17	47953.33124
18	46987.81392
19	45887.90853
20	44887.94582
21	43984.60878
22	43090.95733
23	42191.63588
24	41304.49354
25	40499.567
26	39733.93286
27	39071.30418
28	38302.03715
29	37682.70701
30	37054.13264
31	36426.35584
32	35847.2089
33	35365.54955
34	34826.40403
35	34262.54578
36	33723.18911
37	33176.30958
38	32686.63609
39	32240.4409
40	31818.8802
41	31380.41423
42	30900.58678
43	30481.13008
44	30076.4871
45	29713.02368
46	29350.30628
47	29040.29543
48	28734.56985
49	28381.50142
50	28051.38626
51	27819.43912
52	27528.64498
53	27259.15522
54	26979.96397
55	26751.37683
56	26535.43337
57	26296.96527
58	26068.31567
59	25771.0058
60	25523.27283
61	25290.29379
62	25057.92305
63	24858.10362
64	24696.93631
65	24500.79532
66	24345.72511
67	24160.59891
68	23977.57457
69	23857.44841
70	23684.33231
71	23501.60583
72	23403.62098
73	23247.27273
74	23132.96687
75	22955.84198
76	22826.08492
77	22700.43127
78	22567.01859
79	22434.36256
80	22351.0884
81	22281.19506
82	22197.38329
83	22050.6538
84	21936.45485
85	21846.39857
86	21742.10572
87	21669.01637
88	21577.10212
89	21468.49256
90	21374.81266
91	21277.83723
92	21170.28492
93	21085.70759
94	21008.87621
95	20937.50869
96	20861.80927
97	20767.14289
98	20678.14462
99	20586.03336
100	20490.47294
101	20423.79529
102	20354.41492
103	20280.64933
104	20200.44065
105	20144.38745
106	20077.97077
107	20042.01758
108	19969.10978
109	19927.0801
110	19865.94287
111	19795.03753
112	19749.42581
113	19684.53029
114	19635.08351
115	19578.93935
116	19529.2133
117	19461.62371
118	19408.17975
119	19373.70017
120	19327.3197
121	19279.03881
122	19207.75754
123	19150.97327
124	19109.71334
125	19051.9559
126	18989.86741
127	18944.80687
128	18892.76879
129	18840.45406
130	18780.50265
131	18725.47017
132	18673.03405
133	18616.75859
134	18584.02399
135	18537.13775
136	18491.43706
137	18427.24597
138	18389.79641
139	18366.56619
140	18321.05357
141	18268.38954
142	18228.78464
143	18190.55888
144	18130.72067
145	18102.10859
146	18055.35053
147	18004.64172
148	17957.83161
149	17923.29713
150	17878.68099
151	17833.04945
152	17789.5018
153	17751.91833
154	17725.48429
155	17701.57953
156	17671.4145
157	17652.27609
158	17623.58808
159	17575.88854
160	17528.61367
161	17498.65696
162	17453.79579
163	17414.63019
164	17366.3959
165	17310.55724
166	17269.92528
167	17222.38847
168	17193.11434
169	17144.48379
170	17127.00896
171	17114.47468
172	17075.48267
173	17053.04856
174	17043.3785
175	17007.1746
176	16971.01821
177	16918.86687
178	16901.68649
179	16862.67678
180	16824.86014
181	16771.69941
182	16759.1656
183	16715.07805
184	16673.92207
185	16620.54718
186	16579.71982
187	16526.86407
188	16491.89208
189	16480.89416
190	16439.74633
191	16405.79847
192	16367.49218
193	16326.2525
194	16307.80362
195	16267.83821
196	16236.3289
197	16219.26042
198	16200.95953
199	16172.55813
200	16128.2672
201	16117.36282
202	16107.73363
203	16062.35938
204	16019.82574
205	15974.16704
206	15940.60307
207	15892.76557
208	15828.6871
209	15797.593
210	15775.17441
211	15731.85466
212	15688.7248
213	15668.34745
214	15632.49164
215	15603.20303
216	15580.39162
217	15557.37749
218	15532.86379
219	15491.90605
220	15478.79215
221	15438.27516
222	15423.15093
223	15400.45427
224	15388.83213
225	15351.2253
226	15319.9477
227	15302.00708
228	15281.96142
229	15258.49305
230	15250.78074
231	15216.20329
232	15163.84334
233	15133.93081
234	15091.83832
235	15052.2916
236	15037.61855
237	15002.54686
238	14983.2727
239	14951.76895
240	14932.57756
241	14907.64969
242	14895.65776
243	14871.23386
244	14862.77054
245	14841.4559
246	14797.78992
247	14765.13399
248	14760.28331
249	14736.97799
250	14701.7578
251	14682.21203
252	14658.66596
253	14628.51653
254	14604.26455
255	14599.42449
256	14559.33638
257	14542.34075
258	14507.65055
259	14475.5015
260	14448.20543
261	14417.78401
262	14388.77441
263	14353.65256
264	14320.08665
265	14304.80474
266	14262.30821
267	14233.36761
268	14208.18829
269	14173.11252
270	14168.94907
271	14150.43536
272	14121.60174
273	14105.45493
274	14089.51561
275	14071.65915
276	14060.46303
277	14055.20702
278	14015.25285
279	13998.04143
280	13972.23832
281	13961.22344
282	13931.58403
283	13925.72561
284	13909.66617
285	13874.81587
286	13845.44171
287	13819.42403
288	13803.49549
289	13793.21741
290	13768.75024
291	13745.13601
292	13716.66233
293	13687.908
294	13654.72224
295	13632.90739
296	13607.99791
297	13580.50864
298	13558.05788
299	13541.75155
300	13516.45714
301	13504.00802
302	13486.96946
303	13482.45947
304	13465.89049
305	13437.57513
306	13416.32306
307	13398.08134
308	13377.30034
309	13357.34863
310	13325.33036
311	13304.90256
312	13277.34682
313	13260.71059
314	13226.79142
315	13204.45647
316	13198.20471
317	13175.71442
318	13162.75812
319	13137.99796
320	13123.78969
321	13076.69956
322	13055.48168
323	13032.25731
324	13002.82067
325	12973.48971
326	12950.64392
327	12929.22785
328	12908.48686
329	12890.60255
330	12850.33017
331	12837.438
332	12813.57793
333	12792.93457
334	12789.77607
335	12762.71551
336	12734.2041
337	12714.28079
338	12690.28872
339	12668.14712
340	12657.01379
341	12639.79889
342	12623.42579
343	12612.42892
344	12601.75284
345	12586.42573
346	12575.91389
347	12540.83998
348	12527.48768
349	12515.00317
350	12491.82837
351	12486.57961
352	12467.18715
353	12441.39208
354	12435.38988
355	12412.53378
356	12389.65762
357	12367.88406
358	12345.80618
359	12327.17375
360	12295.17523
361	12285.05444
362	12264.59591
363	12244.84321
364	12231.45197
365	12221.43195
366	12210.0678
367	12183.14174
368	12160.96066
369	12147.81169
370	12127.45987
371	12107.28601
372	12092.15734
373	12076.03959
374	12062.3844
375	12058.32402
376	12046.70273
377	12028.4989
378	12009.03029
379	11981.05044
380	11961.04199
381	11941.18564
382	11936.43318
383	11921.37574
384	11896.76654
385	11875.99967
386	11866.48766
387	11846.9114
388	11832.8798
389	11812.74958
390	11792.90926
391	11769.69123
392	11766.65457
393	11760.32083
394	11749.61724
395	11732.85774
396	11722.29527
397	11705.44784
398	11682.70142
399	11666.24956
400	11645.54675
401	11643.01149
402	11640.36382
403	11619.69589
404	11607.16391
405	11590.54948
406	11572.83958
407	11568.6719
408	11548.42796
409	11511.66882
410	11490.59861
411	11483.99288
412	11466.87162
413	11447.94024
414	11424.32155
415	11422.03884
416	11416.79083
417	11414.5826
418	11398.78536
419	11383.78562
420	11364.33873
421	11362.21821
422	11326.12039
423	11324.07331
424	11306.78539
425	11304.88121
426	11302.95277
427	11292.50967
428	11264.89118
429	11256.63189
430	11235.52119
431	11213.96918
432	11180.53299
433	11160.90166
434	11153.18318
435	11143.72655
436	11123.27802
437	11106.187
438	11093.13302
439	11072.26993
440	11070.5609
441	11062.21582
442	11043.1708
443	11033.6412
444	11018.70974
445	10990.03574
446	10980.91345
447	10951.47177
448	10940.00046
449	10925.13485
450	10908.77458
451	10901.82552
452	10889.9037
453	10886.06555
454	10876.33443
455	10848.44875
456	10831.11811
457	10809.90335
458	10804.80594
459	10799.71551
460	10774.07828
461	10755.93219
462	10753.79029
463	10731.06826
464	10704.91472
465	10689.89652
466	10676.83488
467	10648.51852
468	10629.66425
469	10622.72677
470	10616.36
471	10603.75439
472	10598.19078
473	10575.34222
474	10573.81934
475	10565.35144
476	10535.38375
477	10514.65873
478	10487.18816
479	10485.55968
480	10475.90799
481	10472.88594
482	10461.6815
483	10456.63463
484	10455.34262
485	10431.79316
486	10428.34365
487	10412.03277
488	10396.94668
489	10392.11594
490	10383.44969
491	10348.82636
492	10325.8909
493	10308.6784
494	10297.64345
495	10290.2316
496	10276.06444
497	10266.36657
498	10264.97864
499	10251.23861
500	10239.47995
501	10225.6072
502	10207.50323
503	10196.99658
504	10194.97084
505	10173.34207
506	10146.38787
507	10137.17978
508	10126.42309
509	10110.13757
510	10109.02849
511	10101.33498
512	10087.42768
513	10085.59742
514	10082.25698
515	10069.55294
516	10045.49383
517	10033.12523
518	10027.09115
519	10011.26009
520	10002.97001
521	10002.05295
522	9987.359974
523	9965.609167
524	9946.082364
