iter	Passed	Remaining
0	6	6384
1	10	5164
2	13	4477
3	18	4665
4	23	4704
5	27	4593
6	30	4300
7	32	4059
8	34	3821
9	36	3584
10	37	3379
11	39	3213
12	41	3121
13	43	3051
14	45	2987
15	48	2952
16	50	2941
17	53	2894
18	54	2822
19	56	2756
20	57	2702
21	60	2680
22	62	2661
23	64	2624
24	65	2571
25	67	2527
26	69	2496
27	71	2466
28	72	2435
29	74	2394
30	75	2356
31	76	2325
32	78	2305
33	80	2286
34	83	2289
35	85	2285
36	86	2257
37	88	2232
38	89	2217
39	91	2203
40	93	2193
41	96	2206
42	98	2202
43	100	2191
44	102	2178
45	104	2173
46	106	2163
47	108	2155
48	110	2148
49	112	2146
50	114	2131
51	116	2118
52	118	2112
53	119	2100
54	121	2088
55	123	2075
56	124	2064
57	126	2054
58	127	2038
59	129	2023
60	130	2008
61	131	1994
62	133	1979
63	134	1966
64	135	1953
65	138	1956
66	140	1955
67	142	1952
68	144	1945
69	145	1939
70	147	1931
71	149	1925
72	151	1923
73	152	1911
74	154	1900
75	155	1890
76	157	1887
77	159	1891
78	161	1884
79	162	1873
80	164	1863
81	165	1853
82	166	1843
83	168	1834
84	169	1825
85	171	1817
86	173	1817
87	174	1812
88	176	1805
89	177	1798
90	179	1791
91	180	1783
92	182	1776
93	183	1769
94	185	1764
95	187	1761
96	188	1756
97	190	1753
98	192	1755
99	195	1756
100	196	1752
101	199	1755
102	201	1751
103	202	1744
104	204	1739
105	206	1737
106	208	1742
107	211	1744
108	213	1747
109	216	1750
110	217	1743
111	219	1737
112	221	1737
113	223	1736
114	226	1739
115	228	1740
116	230	1737
117	233	1744
118	236	1752
119	239	1755
120	242	1759
121	244	1762
122	247	1762
123	249	1762
124	252	1770
125	255	1769
126	256	1764
127	259	1767
128	261	1763
129	263	1760
130	264	1757
131	266	1753
132	268	1749
133	270	1749
134	272	1746
135	274	1741
136	275	1737
137	277	1734
138	279	1733
139	282	1734
140	283	1730
141	285	1725
142	287	1721
143	288	1716
144	290	1712
145	292	1708
146	293	1703
147	294	1698
148	296	1692
149	297	1686
150	299	1682
151	300	1677
152	301	1671
153	303	1667
154	304	1661
155	306	1656
156	307	1651
157	308	1646
158	310	1641
159	311	1636
160	312	1630
161	314	1629
162	317	1628
163	318	1626
164	320	1620
165	321	1616
166	322	1610
167	324	1605
168	325	1602
169	327	1599
170	329	1597
171	331	1593
172	332	1590
173	334	1588
174	336	1585
175	338	1583
176	340	1581
177	341	1577
178	343	1573
179	345	1572
180	346	1569
181	348	1566
182	350	1562
183	351	1559
184	353	1558
185	355	1555
186	357	1552
187	358	1549
188	360	1548
189	362	1545
190	364	1542
191	365	1538
192	367	1535
193	368	1531
194	370	1528
195	371	1525
196	373	1522
197	375	1520
198	377	1518
199	378	1515
200	380	1513
201	382	1512
202	384	1509
203	386	1507
204	387	1504
205	389	1500
206	390	1497
207	392	1495
208	394	1492
209	396	1490
210	398	1488
211	399	1486
212	401	1482
213	402	1478
214	404	1476
215	405	1472
216	406	1468
217	408	1466
218	410	1464
219	412	1462
220	413	1458
221	415	1456
222	417	1453
223	418	1450
224	420	1449
225	422	1447
226	424	1445
227	426	1443
228	428	1441
229	429	1439
230	431	1437
231	433	1434
232	435	1432
233	436	1428
234	437	1425
235	439	1422
236	441	1420
237	442	1416
238	443	1413
239	445	1409
240	446	1405
241	448	1404
242	449	1401
243	451	1398
244	452	1394
245	453	1391
246	455	1389
247	457	1386
248	458	1382
249	459	1379
250	461	1376
251	462	1373
252	464	1370
253	465	1367
254	468	1367
255	469	1365
256	471	1363
257	473	1361
258	475	1359
259	476	1357
260	478	1355
261	480	1353
262	482	1351
263	483	1347
264	484	1344
265	486	1343
266	488	1339
267	489	1336
268	490	1334
269	492	1331
270	493	1328
271	495	1325
272	496	1322
273	498	1320
274	499	1318
275	502	1317
276	504	1315
277	506	1314
278	508	1313
279	509	1310
280	510	1307
281	512	1303
282	513	1301
283	515	1299
284	517	1299
285	519	1298
286	522	1297
287	524	1296
288	526	1294
289	528	1292
290	529	1290
291	530	1287
292	532	1284
293	534	1282
294	535	1279
295	536	1276
296	538	1274
297	539	1271
298	541	1269
299	543	1267
300	544	1264
301	546	1262
302	547	1259
303	549	1257
304	550	1254
305	551	1251
306	553	1248
307	554	1246
308	557	1245
309	559	1244
310	560	1242
311	563	1242
312	565	1242
313	567	1240
314	570	1239
315	572	1239
316	574	1237
317	576	1235
318	578	1235
319	580	1234
320	582	1232
321	584	1231
322	586	1230
323	588	1227
324	589	1224
325	591	1222
326	592	1219
327	595	1219
328	598	1219
329	600	1219
330	602	1218
331	604	1215
332	605	1213
333	607	1210
334	609	1209
335	613	1212
336	616	1211
337	618	1211
338	620	1209
339	622	1208
340	624	1207
341	627	1207
342	629	1204
343	630	1202
344	632	1201
345	634	1198
346	635	1195
347	636	1193
348	638	1191
349	640	1190
350	642	1187
351	644	1186
352	645	1183
353	648	1182
354	649	1180
355	650	1177
356	652	1174
357	653	1172
358	656	1171
359	659	1172
360	661	1170
361	664	1170
362	666	1169
363	668	1167
364	670	1165
365	672	1164
366	673	1161
367	675	1159
368	676	1157
369	679	1156
370	680	1154
371	682	1151
372	683	1148
373	685	1147
374	687	1145
375	689	1143
376	690	1141
377	693	1141
378	696	1140
379	697	1138
380	699	1136
381	700	1133
382	704	1134
383	707	1134
384	711	1136
385	714	1137
386	717	1137
387	719	1135
388	721	1133
389	723	1131
390	725	1130
391	727	1127
392	728	1125
393	729	1122
394	731	1119
395	733	1119
396	735	1117
397	736	1114
398	738	1112
399	741	1112
400	742	1109
401	744	1107
402	745	1104
403	747	1102
404	749	1101
405	751	1099
406	754	1099
407	757	1098
408	759	1097
409	761	1095
410	763	1094
411	766	1093
412	767	1090
413	768	1088
414	772	1088
415	773	1086
416	775	1083
417	776	1081
418	778	1079
419	780	1078
420	782	1076
421	783	1073
422	786	1072
423	788	1071
424	790	1069
425	791	1066
426	793	1064
427	795	1062
428	796	1060
429	799	1059
430	802	1059
431	804	1058
432	806	1056
433	809	1055
434	811	1053
435	813	1052
436	815	1050
437	818	1049
438	819	1047
439	820	1044
440	822	1042
441	823	1039
442	825	1038
443	827	1036
444	829	1034
